Maternal Mortality Change,Maternal Mortality,Malaria Cases Change,Malaria Cases,Neonatal Mortality Change,Neonatal Mortality,GDP Change,GDP per capita,Pupil Teacher Ratio,Pupil Teacher Ratio Change,Tuberculosis Incidents Change,Tuberculosis Incidents,Country,Measles Vaccine,Measles Vaccines,Hib3 Immunizations %,Hib3 Immunizations,Water Services,Water Services Access
-281,Significant decrease,69690,Increase,-9,Decrease,3.925068286,Increase,Decrease,-44,0,No change,AFG,2,Increase,0,Stayed the same,15.93012357,Increased
-80,Significant decrease,2111383,Significant increase,-6,Decrease,-81.81091317,Decrease,Decrease,-8,-22,Decrease,AGO,-17,Significant Decrease,3,Increase,4.70743495,Increased
-5,No change,-50,No change,-7,Decrease,-1962.067053,Significant decrease,Increase,7,-38,Decrease,AZE,9,Significant Increase,,,4.104313994,Increased
-72,Significant decrease,-51086,Significant decrease,-8,Decrease,620.4670347,Increase,Increase,10,0,No change,BGD,9,Significant Increase,4,Increase,0.422661976,Stayed the same
-3,No change,-210305,Significant decrease,-1,Decrease,-2573.355972,Significant decrease,Stayed the same,-1,-1,No change,BRA,-4,Decrease,-10,Significant Decrease,1.518729753,Increased
-54,Significant decrease,-421,Decrease,-5,Decrease,700.1013056,Increase,Decrease,-11,-46,Significant decrease,BTN,2,Increase,,,4.51408862,Increased
-1,No change,-34980,Significant decrease,-2,Decrease,-455.3259448,Decrease,Decrease,-4,1,No change,COL,5,Increase,3,Increase,2.018722788,Increased
-4,No change,-106,Decrease,-1,Decrease,3524.542784,Significant increase,Decrease,-3,-4,No change,CRI,10,Significant Increase,7,Significant Increase,1.501675254,Increased
-6,Moderate decrease,0,No change,-4,Decrease,828.8739441,Increase,Increase,7,-35,Decrease,GEO,-1,Stayed the same,25,Significant Increase,2.433727618,Increased
-25,Moderate decrease,3463530,Significant increase,-5,Decrease,632.9525188,Increase,Increase,15,-27,Decrease,GHA,-4,Decrease,-1,Stayed the same,6.07239193,Increased
-31,Moderate decrease,-2531,Decrease,-3,Decrease,1315.105863,Significant increase,Stayed the same,-1,-4,No change,GTM,-7,Decrease,-14,Significant Decrease,2.87907179,Increased
-9,Moderate decrease,-10568,Significant decrease,-4,Decrease,1509.374342,Significant increase,Decrease,-22,-25,Decrease,GUY,4,Increase,2,Increase,2.897235045,Increased
-9,Moderate decrease,-5650,Decrease,-3,Decrease,438.2381862,Increase,Increase,18,-4,No change,HND,-2,Stayed the same,-3,Decrease,3.359303107,Increased
-47,Moderate decrease,268964,Significant increase,-3,Decrease,201.1776936,Increase,Increase,14,15,Increase,LBR,15,Significant Increase,32,Significant Increase,3.148049587,Increased
-2,No change,-684,Decrease,-1,Decrease,1086.642625,Significant increase,Stayed the same,0,-1,No change,LKA,0,Stayed the same,0,Stayed the same,3.46803875,Increased
-12,Moderate decrease,-675,Decrease,0,No change,-531.6421904,Decrease,Decrease,-19,0,No change,MEX,1,Stayed the same,-2,Decrease,3.123489065,Increased
-70,Significant decrease,1928800,Significant increase,-5,Decrease,70.29296842,Increase,Decrease,-12,-7,Decrease,MLI,-12,Significant Decrease,-4,Decrease,10.2744752,Increased
-20,Moderate decrease,-310662,Significant decrease,-4,Decrease,213.4437078,Increase,Decrease,-11,-128,Significant decrease,MMR,3,Increase,,,12.45913326,Increased
-47,Moderate decrease,16675,Increase,-4,Decrease,-117.5405903,Decrease,Increase,38,-33,Decrease,MRT,5,Increase,10,Significant Increase,11.05162474,Increased
-133,Significant decrease,3528109,Significant increase,-5,Decrease,14.78809162,Increase,Decrease,-4,-20,Decrease,NER,9,Significant Increase,10,Significant Increase,4.798739879,Increased
-53,Significant decrease,8683200,Significant increase,-1,Decrease,-116.445486,Decrease,Decrease,-31,0,No change,NGA,9,Significant Increase,,,8.218508122,Increased
-12,Moderate decrease,5580,Increase,0,No change,603.6967567,Increase,Decrease,-29,-7,Decrease,NIC,0,Stayed the same,0,Stayed the same,0.180458674,Stayed the same
-105,Significant decrease,-3387,Decrease,-6,Decrease,184.7464981,Increase,Decrease,-5,-9,Decrease,NPL,-3,Decrease,,,2.939372887,Increased
-48,Moderate decrease,77858,Increase,-5,Decrease,381.0446032,Increase,Increase,18,-8,Decrease,PAK,18,Significant Increase,23,Significant Increase,1.989227319,Increased
-24,Moderate decrease,351,Increase,-2,Decrease,6274.295596,Significant increase,Stayed the same,-2,3,No change,PAN,-2,Stayed the same,-8,Significant Decrease,2.716878372,Increased
-20,Moderate decrease,-11880,Significant decrease,-1,Decrease,817.1552702,Increase,Increase,24,23,Increase,PHL,0,Stayed the same,85,Significant Increase,2.969603748,Increased
-20,Moderate decrease,384541,Significant increase,-2,Decrease,560.2789404,Increase,Increase,23,0,No change,PNG,-4,Decrease,5,Increase,3.42619465,Increased
-33,Moderate decrease,14727,Increase,-2,Decrease,696.0174433,Increase,Decrease,-15,1,No change,SLB,8,Significant Increase,7,Significant Increase,-4.958416783,Decreased
,,841278,Significant increase,-6,Decrease,99.58071149,Increase,Increase,21,-13,Decrease,SLE,3,Increase,-2,Decrease,7.627309658,Increased
-10,Moderate decrease,-502,Decrease,-3,Decrease,615.4233116,Increase,Increase,24,45,Increase,STP,,,-2,Decrease,6.999251167,Increased
-27,Moderate decrease,-1636,Decrease,-2,Decrease,-2651.074289,Significant decrease,Stayed the same,-2,-21,Decrease,SUR,7,Significant Increase,5,Increase,1.699414517,Increased
,,1094320,Significant increase,-3,Decrease,-198.7202216,Decrease,Decrease,-7,-3,No change,TCD,-9,Significant Decrease,2,Increase,-0.967771351,Decreased
-49,Moderate decrease,-3737,Decrease,-2,Decrease,-2055.697204,Significant decrease,Decrease,-11,-330,Significant decrease,ZAF,13,Significant Increase,4,Increase,2.642333764,Increased
-1,No change,0,No change,0,No change,4248.543245,Significant increase,,,-1,No change,ARE,5,Increase,5,Increase,,
-11,Moderate decrease,-14,No change,-2,Decrease,2404.278041,Significant increase,,,6,Increase,ARG,-5,Decrease,-2,Decrease,0.610320451,Stayed the same
-6,Moderate decrease,0,No change,-3,Decrease,373.4565689,Increase,,,-17,Decrease,ARM,0,Stayed the same,46,Significant Increase,1.632479999,Increased
-107,Significant decrease,6510615,Significant increase,-5,Decrease,47.95748353,Increase,,,-26,Decrease,BDI,1,Stayed the same,-2,Decrease,,
-54,Significant decrease,8974615,Significant increase,-4,Decrease,7.34899164,Increase,,,-7,Decrease,BFA,-4,Decrease,0,Stayed the same,,
-15,Moderate decrease,-146,Decrease,1,Increase,547.604747,Increase,,,-15,Decrease,BLZ,-3,Decrease,-1,Stayed the same,,
